" ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Motor Vehicle Accessories","49,609","46,924","49,277","46,320","48,029","53,541","51,656","51,897","51,872","55,209"
"Bicycles","26,445","30,093","35,159","34,747","33,095","36,554","31,739","28,996","27,336","24,494"
"From Building","75,313","76,803","80,634","77,017","80,294","77,023","72,225","69,892","69,324","66,657"
"Coin Operated Machine","1,634","1,414","1,450","1,599","1,230","1,307","1,468","1,406","1,037","1,055"
"Other","121,908","132,182","144,414","144,622","123,472","136,775","136,305","133,962","131,761","130,873"
"Value","","","","","","","","","",""
"Over $400","203,833","216,030","232,014","228,035","215,820","238,456","235,543","261,346","270,124","281,436"
"$200 through $400","96,180","91,666","95,880","90,476","85,033","91,947","86,853","86,436","84,523","82,438"
"$50 through $199","115,484","113,113","118,159","112,284","110,108","120,590","112,408","108,836","105,185","100,697"
"Under $50","184,860","176,493","188,594","190,412","181,375","204,858","201,738","185,186","161,456","158,298"
"Arson","7,864","7,164","7,519","7,446","7,135","7,380","7,766","8,650","8,523","8,266"
"Structural Property","2,546","2,327","2,654","2,528","2,459","2,450","2,805","3,175","2,825","2,877"
"Mobile Property","2,501","2,060","1,978","1,822","1,825","1,853","1,943","1,979","2,047","1,773"
"Other Property","2,817","2,777","2,887","3,096","2,851","3,077","3,018","3,496","3,651","3,616"
