Source,Region,Series,1989,1993,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"FRED, U.S. Regional Data",California,"Estimated Percent of People of All Ages in Poverty, NSA",12.70,17.40,16.50,16.70,16.00,14.90,13.70,12.70,12.90,13.30,13.70,13.20,13.30,13.10,12.40,13.30,14.20,15.80,16.60,17.00,16.80,16.40,15.40,14.40,13.30,12.80,11.80
